year,round,ConstructorId,points,status
2011,2,lotus_racing,0,Clutch
2011,2,sauber,0,Accident
2011,2,williams,0,Gearbox
2011,2,hrt,0,+42 Laps
2011,2,williams,0,Engine misfire
2012,2,ferrari,25,Finished
2012,2,sauber,18,Finished
2012,2,mclaren,15,Finished
2012,2,red_bull,12,Finished
2012,2,lotus_f1,10,Finished
2012,2,williams,8,Finished
2012,2,force_india,6,Finished
2012,2,toro_rosso,4,Finished
2012,2,force_india,2,Finished
2012,2,mercedes,1,Finished
2012,2,red_bull,0,Finished
2012,2,toro_rosso,0,Finished
2012,2,mercedes,0,Finished
2012,2,mclaren,0,Finished
2012,2,ferrari,0,Finished
2012,2,caterham,0,+1 Lap
2012,2,marussia,0,+1 Lap
2012,2,caterham,0,+1 Lap
2012,2,williams,0,Engine
2012,2,marussia,0,+2 Laps
2012,2,hrt,0,+2 Laps
2012,2,hrt,0,+2 Laps
2012,2,sauber,0,Retired
2012,2,lotus_f1,0,Collision
2013,2,red_bull,25,Finished
2013,2,red_bull,18,Finished
2013,2,mercedes,15,Finished
2013,2,mercedes,12,Finished
2013,2,ferrari,10,Finished
2013,2,lotus_f1,8,Finished
2013,2,lotus_f1,6,Finished
2013,2,sauber,4,Finished
2013,2,mclaren,2,Finished
2013,2,toro_rosso,1,Finished
2013,2,williams,0,Finished
2013,2,sauber,0,+1 Lap
2013,2,marussia,0,+1 Lap
2013,2,caterham,0,+1 Lap
2013,2,caterham,0,+1 Lap
2013,2,marussia,0,+2 Laps
2013,2,mclaren,0,Withdrew
2013,2,toro_rosso,0,Retired
2013,2,williams,0,Retired
2013,2,force_india,0,Wheel nut
2013,2,force_india,0,Wheel nut
2013,2,ferrari,0,Collision
2014,2,mercedes,25,Finished
2014,2,mercedes,18,Finished
2014,2,red_bull,15,Finished
2014,2,ferrari,12,Finished
2014,2,force_india,10,Finished
2014,2,mclaren,8,Finished
2014,2,williams,6,Finished
2014,2,williams,4,Finished
2014,2,mclaren,2,+1 Lap
2014,2,toro_rosso,1,+1 Lap
2014,2,lotus_f1,0,+1 Lap
2014,2,ferrari,0,+1 Lap
2014,2,caterham,0,+1 Lap
2014,2,caterham,0,+2 Laps
2014,2,marussia,0,+2 Laps
2014,2,red_bull,0,Technical
2014,2,sauber,0,Gearbox
2014,2,sauber,0,Electrical
2014,2,toro_rosso,0,Power Unit
2014,2,marussia,0,Brakes
2014,2,lotus_f1,0,Engine
2014,2,force_india,0,Withdrew
2015,2,ferrari,25,Finished
2015,2,mercedes,18,Finished
2015,2,mercedes,15,Finished
2015,2,ferrari,12,Finished
2015,2,williams,10,Finished
2015,2,williams,8,Finished
2015,2,toro_rosso,6,Finished
2015,2,toro_rosso,4,+1 Lap
2015,2,red_bull,2,+1 Lap
2015,2,red_bull,1,+1 Lap
2015,2,lotus_f1,0,+1 Lap
2015,2,sauber,0,+1 Lap
2015,2,force_india,0,+1 Lap
2015,2,force_india,0,+1 Lap
2015,2,manor,0,+3 Laps
2015,2,lotus_f1,0,Retired
2015,2,mclaren,0,Turbo
2015,2,mclaren,0,ERS
2015,2,sauber,0,Spun off
2015,2,manor,0,Fuel system
2016,2,mercedes,25,Finished
2016,2,ferrari,18,Finished
2016,2,mercedes,15,Finished
2016,2,red_bull,12,Finished
2016,2,haas,10,Finished
2016,2,toro_rosso,8,Finished
2016,2,red_bull,6,+1 Lap
2016,2,williams,4,+1 Lap
2016,2,williams,2,+1 Lap
2016,2,mclaren,1,+1 Lap
2016,2,renault,0,+1 Lap
2016,2,sauber,0,+1 Lap
2016,2,manor,0,+1 Lap
2016,2,sauber,0,+1 Lap
2016,2,force_india,0,+1 Lap
2016,2,force_india,0,+1 Lap
2016,2,manor,0,+1 Lap
2016,2,toro_rosso,0,Retired
2016,2,haas,0,Retired
2016,2,mclaren,0,Power Unit
2016,2,ferrari,0,Engine
2016,2,renault,0,Hydraulics
2017,2,mercedes,25,Finished
2017,2,ferrari,18,Finished
2017,2,red_bull,15,Finished
2017,2,red_bull,12,Finished
2017,2,ferrari,10,Finished
2017,2,mercedes,8,Finished
2017,2,toro_rosso,6,Finished
2017,2,haas,4,+1 Lap
2017,2,force_india,2,+1 Lap
2017,2,force_india,1,+1 Lap
2017,2,haas,0,+1 Lap
2017,2,renault,0,+1 Lap
2017,2,renault,0,+1 Lap
2017,2,williams,0,+1 Lap
2017,2,sauber,0,+1 Lap
2017,2,mclaren,0,Driveshaft
2017,2,toro_rosso,0,Hydraulics
2017,2,mclaren,0,Fuel pressure
2017,2,sauber,0,Accident
2017,2,williams,0,Collision
2018,2,ferrari,25,Finished
2018,2,mercedes,18,Finished
2018,2,mercedes,15,Finished
2018,2,toro_rosso,12,Finished
2018,2,haas,10,Finished
2018,2,renault,8,Finished
2018,2,mclaren,6,+1 Lap
2018,2,mclaren,4,+1 Lap
2018,2,sauber,2,+1 Lap
2018,2,force_india,1,+1 Lap
2018,2,renault,0,+1 Lap
2018,2,sauber,0,+1 Lap
2018,2,haas,0,+1 Lap
2018,2,williams,0,+1 Lap
2018,2,williams,0,+1 Lap
2018,2,force_india,0,+1 Lap
2018,2,toro_rosso,0,+1 Lap
2018,2,ferrari,0,Wheel
2018,2,red_bull,0,Puncture
2018,2,red_bull,0,Electrical
2019,2,mercedes,25,Finished
2019,2,mercedes,18,Finished
2019,2,ferrari,16,Finished
2019,2,red_bull,12,Finished
2019,2,ferrari,10,Finished
2019,2,mclaren,8,Finished
2019,2,alfa,6,Finished
2019,2,red_bull,4,Finished
2019,2,toro_rosso,2,Finished
2019,2,racing_point,1,Finished
2019,2,alfa,0,Finished
2019,2,toro_rosso,0,+1 Lap
2019,2,haas,0,+1 Lap
2019,2,racing_point,0,+1 Lap
2019,2,williams,0,+1 Lap
2019,2,williams,0,+2 Laps
2019,2,renault,0,Engine
2019,2,renault,0,Out of fuel
2019,2,mclaren,0,Collision damage
2019,2,haas,0,Retired
2020,2,mercedes,25,Finished
2020,2,mercedes,18,Finished
2020,2,red_bull,15,Finished
2020,2,red_bull,12,Finished
2020,2,mclaren,10,Finished
2020,2,racing_point,8,Finished
2020,2,racing_point,6,Finished
2020,2,renault,4,Finished
2020,2,mclaren,3,+1 Lap
2020,2,alphatauri,1,+1 Lap
2020,2,alfa,0,+1 Lap
2020,2,haas,0,+1 Lap
2020,2,haas,0,+1 Lap
2020,2,alfa,0,+1 Lap
2020,2,alphatauri,0,+1 Lap
2020,2,williams,0,+2 Laps
2020,2,williams,0,+2 Laps
2020,2,renault,0,Overheating
2020,2,ferrari,0,Collision damage
2020,2,ferrari,0,Collision damage
2021,2,red_bull,25,Finished
2021,2,mercedes,19,Finished
2021,2,mclaren,15,Finished
2021,2,ferrari,12,Finished
2021,2,ferrari,10,Finished
2021,2,mclaren,8,Finished
2021,2,alphatauri,6,Finished
2021,2,aston_martin,4,Finished
2021,2,alpine,2,Finished
2021,2,alpine,1,Finished
2021,2,red_bull,0,Finished
2021,2,alphatauri,0,Finished
2021,2,alfa,0,Finished
2021,2,alfa,0,+1 Lap
2021,2,aston_martin,0,Gearbox
2021,2,haas,0,+2 Laps
2021,2,haas,0,+2 Laps
2021,2,mercedes,0,Collision
2021,2,williams,0,Collision
2021,2,williams,0,Collision
2022,2,red_bull,25,Finished
2022,2,ferrari,19,Finished
2022,2,ferrari,15,Finished
2022,2,red_bull,12,Finished
2022,2,mercedes,10,Finished
2022,2,alpine,8,Finished
2022,2,mclaren,6,Finished
2022,2,alphatauri,4,Finished
2022,2,haas,2,Finished
2022,2,mercedes,1,Finished
2022,2,alfa,0,Finished
2022,2,aston_martin,0,Finished
2022,2,aston_martin,0,+1 Lap
2022,2,williams,0,Collision damage
2022,2,alfa,0,Cooling system
2022,2,alpine,0,Water pump
2022,2,mclaren,0,Gearbox
2022,2,williams,0,Accident
2022,2,alphatauri,0,Power Unit
2022,2,haas,0,Withdrew
2010,3,red_bull,25,Finished
2010,3,red_bull,18,Finished
2010,3,mercedes,15,Finished
2010,3,renault,12,Finished
2010,3,force_india,10,Finished
2010,3,mclaren,8,Finished
2010,3,ferrari,6,Finished
2010,3,mclaren,4,Finished
2010,3,toro_rosso,2,Finished
2010,3,williams,1,Finished
2010,3,toro_rosso,0,Finished
2010,3,williams,0,+1 Lap
2010,3,ferrari,0,Engine
2010,3,virgin,0,+3 Laps
2010,3,hrt,0,+3 Laps
2010,3,hrt,0,+4 Laps
2010,3,lotus_racing,0,+5 Laps
2010,3,lotus_racing,0,+10 Laps
2010,3,renault,0,Gearbox
2010,3,force_india,0,Throttle
2010,3,mercedes,0,Wheel
2010,3,sauber,0,Engine
2010,3,virgin,0,Spun off
2010,3,sauber,0,Engine
2011,3,mclaren,25,Finished
2011,3,red_bull,18,Finished
2011,3,red_bull,15,Finished
2011,3,mclaren,12,Finished
2011,3,mercedes,10,Finished
2011,3,ferrari,8,Finished
2011,3,ferrari,6,Finished
2011,3,mercedes,4,Finished
2011,3,renault,2,Finished
2011,3,sauber,1,Finished
2011,3,force_india,0,Finished
2011,3,renault,0,Finished
2011,3,williams,0,Finished
2011,3,toro_rosso,0,Finished
2011,3,force_india,0,+1 Lap
2011,3,lotus_racing,0,+1 Lap
2011,3,sauber,0,+1 Lap
2011,3,williams,0,+1 Lap
2011,3,lotus_racing,0,+1 Lap
2011,3,virgin,0,+2 Laps
2011,3,virgin,0,+2 Laps
2011,3,hrt,0,+2 Laps
2011,3,hrt,0,+2 Laps
2011,3,toro_rosso,0,Wheel
2012,3,mercedes,25,Finished
2012,3,mclaren,18,Finished
2012,3,mclaren,15,Finished
2012,3,red_bull,12,Finished
2012,3,red_bull,10,Finished
2012,3,lotus_f1,8,Finished
2012,3,williams,6,Finished
2012,3,williams,4,Finished
2012,3,ferrari,2,Finished
2012,3,sauber,1,Finished
2012,3,sauber,0,Finished
2012,3,force_india,0,Finished
2012,3,ferrari,0,Finished
2012,3,lotus_f1,0,Finished
2012,3,force_india,0,Finished
2012,3,toro_rosso,0,Finished
2012,3,toro_rosso,0,Finished
2012,3,caterham,0,+1 Lap
2012,3,marussia,0,+1 Lap
2012,3,marussia,0,+1 Lap
2012,3,hrt,0,+1 Lap
2012,3,hrt,0,+2 Laps
2012,3,caterham,0,+3 Laps
2012,3,mercedes,0,Wheel nut
2013,3,ferrari,25,Finished
2013,3,lotus_f1,18,Finished
2013,3,mercedes,15,Finished
2013,3,red_bull,12,Finished
2013,3,mclaren,10,Finished
2013,3,ferrari,8,Finished
2013,3,toro_rosso,6,Finished
2013,3,force_india,4,Finished
2013,3,lotus_f1,2,Finished
2013,3,sauber,1,Finished
2013,3,mclaren,0,Finished
2013,3,toro_rosso,0,Finished
2013,3,williams,0,Finished
2013,3,williams,0,Finished
2013,3,marussia,0,+1 Lap
2013,3,caterham,0,+1 Lap
2013,3,marussia,0,+1 Lap
2013,3,caterham,0,+1 Lap
2013,3,mercedes,0,Suspension
2013,3,red_bull,0,Wheel
2013,3,force_india,0,Collision
2013,3,sauber,0,Collision
2014,3,mercedes,25,Finished
2014,3,mercedes,18,Finished
2014,3,force_india,15,Finished
2014,3,red_bull,12,Finished
2014,3,force_india,10,Finished
2014,3,red_bull,8,Finished
2014,3,williams,6,Finished
2014,3,williams,4,Finished
2014,3,ferrari,2,Finished
2014,3,ferrari,1,Finished
2014,3,toro_rosso,0,Finished
2014,3,lotus_f1,0,Finished
2014,3,marussia,0,Finished
2014,3,lotus_f1,0,Finished
2014,3,caterham,0,Finished
2014,3,marussia,0,+1 Lap
2014,3,mclaren,0,Clutch
2014,3,mclaren,0,Clutch
2014,3,sauber,0,Collision
2014,3,caterham,0,Retired
2014,3,toro_rosso,0,Retired
2014,3,sauber,0,Collision
2015,3,mercedes,25,Finished
2015,3,mercedes,18,Finished
2015,3,ferrari,15,Finished
2015,3,ferrari,12,Finished
2015,3,williams,10,Finished
2015,3,williams,8,Finished
2015,3,lotus_f1,6,Finished
2015,3,sauber,4,Finished
2015,3,red_bull,2,Finished
